satisfaction,evaluation,averageMonthlyHours,yearsAtCompany,turnover
38,53,273,3,1
80,86,279,6,1
11,88,279,4,1
72,87,276,5,1
37,52,274,3,1
41,50,285,3,1
10,77,272,4,1
92,85,269,5,1
89,100,278,5,1
42,53,297,3,1
45,54,267,3,1
11,81,285,4,1
84,92,274,5,1
41,55,278,3,1
36,56,284,3,1
38,54,275,3,1
45,47,264,3,1
78,99,287,6,1
45,51,266,3,1
76,89,280,5,1
11,83,276,4,1
38,55,279,3,1
9,95,281,4,1
46,57,263,3,1
40,53,269,3,1
89,92,296,5,1
82,87,291,5,1
40,49,277,3,1
41,46,278,3,1
38,50,267,3,1
9,62,273,4,1
45,57,269,3,1
40,51,285,3,1
45,55,267,3,1
84,87,280,6,1
10,94,276,4,1
38,46,261,3,1
45,50,273,3,1
11,89,285,4,1
41,54,279,3,1
87,88,275,5,1
45,48,273,3,1
40,46,290,3,1
10,80,272,4,1
9,89,270,4,1
84,74,277,4,1
40,55,280,3,1
57,70,280,6,1
40,54,290,3,1
43,47,273,3,1
13,78,286,2,1
44,55,266,3,1
38,55,285,3,1
39,54,266,3,1
10,92,263,4,1
37,46,276,3,1
11,94,266,4,1
10,81,284,4,1
38,54,281,3,1
85,100,271,5,1
85,91,273,5,1
11,93,267,4,1
10,95,283,5,1
36,56,274,3,1
11,94,291,4,1
81,70,277,4,1
43,54,288,3,1
90,98,267,6,1
76,86,282,5,1
43,50,288,3,1
74,99,275,3,1
9,77,277,4,1
45,49,264,3,1
9,87,276,4,1
11,97,279,4,1
11,79,278,4,1
10,83,277,4,1
40,54,276,3,1
43,56,273,3,1
39,56,285,3,1
45,54,268,3,1
38,49,242,3,1
79,59,262,3,1
84,85,279,6,1
11,77,289,4,1
11,87,285,4,1
17,84,275,3,1
44,45,297,3,1
37,57,267,3,1
10,79,271,4,1
40,50,275,3,1
89,100,279,5,1
42,48,272,3,1
46,55,270,3,1
9,83,280,4,1
37,51,270,3,1
10,77,261,4,1
10,84,257,4,1
11,97,281,4,1
90,100,279,6,1
38,52,266,3,1
36,52,281,3,1
42,46,269,3,1
9,94,271,4,1
43,52,284,3,1
24,46,274,5,1
91,100,284,5,1
44,50,276,3,1
71,87,292,4,1
40,49,279,3,1
43,47,267,3,1
9,85,283,4,1
43,52,292,3,1
90,96,269,5,1
